2023-04-29 15:14:45,331 INFO    MainThread:3521520 [wandb_setup.py:_flush():76] Configure stats pid to 3521520
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_setup.py:_flush():76] Loading settings from /home/mincut/.config/wandb/settings
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_setup.py:_flush():76] Loading settings from /DATATWO/users/mincut/Object-Centric-VideoAnswering/TemporalGNN/wandb/settings
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'TemporalGNN/main.py', 'program': '/DATATWO/users/mincut/Object-Centric-VideoAnswering/TemporalGNN/main.py'}
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_init.py:_log_setup():507] Logging user logs to /DATATWO/users/mincut/Object-Centric-VideoAnswering/TemporalGNN/wandb/run-20230429_151445-6wws0z56/logs/debug.log
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_init.py:_log_setup():508] Logging internal logs to /DATATWO/users/mincut/Object-Centric-VideoAnswering/TemporalGNN/wandb/run-20230429_151445-6wws0z56/logs/debug-internal.log
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_init.py:init():547] calling init triggers
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'lr': 0.005, 'weight_decay': 0.0005, 'hidden_layers': 16, 'normalize': False, 'num_timestamps_in': 1, 'num_timestamps_out': 1, 'batch_size': 1, 'num_epochs': 100}
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_init.py:init():595] starting backend
2023-04-29 15:14:45,332 INFO    MainThread:3521520 [wandb_init.py:init():599] setting up manager
2023-04-29 15:14:45,340 INFO    MainThread:3521520 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-29 15:14:45,344 INFO    MainThread:3521520 [wandb_init.py:init():605] backend started and connected
2023-04-29 15:14:45,352 INFO    MainThread:3521520 [wandb_init.py:init():695] updated telemetry
2023-04-29 15:14:45,357 INFO    MainThread:3521520 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-29 15:14:46,115 INFO    MainThread:3521520 [wandb_run.py:_on_init():2176] communicating current version
2023-04-29 15:14:46,210 INFO    MainThread:3521520 [wandb_run.py:_on_init():2185] got version response 
2023-04-29 15:14:46,210 INFO    MainThread:3521520 [wandb_init.py:init():782] starting run threads in backend
2023-04-29 15:14:50,016 INFO    MainThread:3521520 [wandb_run.py:_console_start():2157] atexit reg
2023-04-29 15:14:50,016 INFO    MainThread:3521520 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-29 15:14:50,016 INFO    MainThread:3521520 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-29 15:14:50,016 INFO    MainThread:3521520 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-29 15:14:50,017 INFO    MainThread:3521520 [wandb_init.py:init():824] run started, returning control to user process
2023-04-29 15:16:47,296 WARNING MsgRouterThr:3521520 [router.py:message_loop():77] message_loop has been closed
